movieId,userId,rating,title,genres
78836,1,5.572335,Enter the Void (2009),Drama
171495,1,5.5532866,Cosmos,(no genres listed)
720,1,5.5114594,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
33649,1,5.4996424,Saving Face (2004),Comedy|Drama|Romance
8477,1,5.494569,"Jetée, La (1962)",Romance|Sci-Fi
26073,1,5.464461,"Human Condition III, The (Ningen no joken III) (1961)",Drama|War
117531,1,5.464461,Watermark (2014),Documentary
84273,1,5.464461,Zeitgeist: Moving Forward (2011),Documentary
184245,1,5.464461,De platte jungle (1978),Documentary
7071,1,5.464461,"Woman Under the Influence, A (1974)",Drama
70946,3,5.229195,Troll 2 (1990),Fantasy|Horror
6835,3,4.9086065,Alien Contamination (1980),Action|Horror|Sci-Fi
5746,3,4.9086065,Galaxy of Terror (Quest) (1981),Action|Horror|Mystery|Sci-Fi
5919,3,4.8623643,Android (1982),Sci-Fi
5181,3,4.8597145,Hangar 18 (1980),Action|Sci-Fi|Thriller
7991,3,4.7393813,Death Race 2000 (1975),Action|Sci-Fi
4518,3,4.696199,The Lair of the White Worm (1988),Comedy|Horror
2851,3,4.6912284,Saturn 3 (1980),Adventure|Sci-Fi|Thriller
89118,3,4.533249,"Skin I Live In, The (La piel que habito) (2011)",Drama
7899,3,4.4177456,Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),Action
800,5,4.5893116,Lone Star (1996),Drama|Mystery|Western
6460,5,4.5710955,"Trial, The (Procès, Le) (1962)",Drama
7767,5,4.5595903,"Best of Youth, The (La meglio gioventù) (2003)",Drama
3379,5,4.547883,On the Beach (1959),Drama
720,5,4.5401645,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
92475,5,4.535946,All Watched Over by Machines of Loving Grace (2011),Documentary
3224,5,4.5283303,Woman in the Dunes (Suna no onna) (1964),Drama
246,5,4.5238004,Hoop Dreams (1994),Documentary
1046,5,4.500475,Beautiful Thing (1996),Drama|Romance
1218,5,4.492479,"Killer, The (Die xue shuang xiong) (1989)",Action|Crime|Drama|Thriller
3925,6,4.8135924,Stranger Than Paradise (1984),Comedy|Drama
33649,6,4.783012,Saving Face (2004),Comedy|Drama|Romance
74282,6,4.7479835,Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987),Children|Drama|Romance
2423,6,4.701753,Christmas Vacation (National Lampoon's Christmas Vacation) (1989),Comedy
26528,6,4.68781,Anne of Green Gables (1985),Children|Drama
42730,6,4.6847343,Glory Road (2006),Drama
2563,6,4.615878,Dangerous Beauty (1998),Drama
93988,6,4.5806956,North & South (2004),Drama|Romance
5867,6,4.5805326,Thief (1981),Crime|Drama|Thriller
67618,6,4.5478287,Strictly Sexual (2008),Comedy|Drama|Romance
1080,9,5.0364623,Monty Python's Life of Brian (1979),Comedy
1136,9,4.866613,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
3379,9,4.852404,On the Beach (1959),Drama
5747,9,4.8352275,Gallipoli (1981),Drama|War
720,9,4.7676578,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
6442,9,4.756162,Belle époque (1992),Comedy|Romance
5222,9,4.656341,Kissing Jessica Stein (2001),Comedy|Romance
8477,9,4.6400194,"Jetée, La (1962)",Romance|Sci-Fi
27156,9,4.6179504,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",Action|Animation|Drama|Fantasy|Sci-Fi
246,9,4.6112275,Hoop Dreams (1994),Documentary
183897,12,5.452906,Isle of Dogs (2018),Animation|Comedy
74282,12,5.4500675,Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987),Children|Drama|Romance
74226,12,5.4290037,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)",Documentary|Drama
179135,12,5.4290037,Blue Planet II (2017),Documentary
138966,12,5.4290037,Nasu: Summer in Andalusia (2003),Animation
26073,12,5.4290037,"Human Condition III, The (Ningen no joken III) (1961)",Drama|War
184245,12,5.4290037,De platte jungle (1978),Documentary
84273,12,5.4290037,Zeitgeist: Moving Forward (2011),Documentary
7071,12,5.4290037,"Woman Under the Influence, A (1974)",Drama
117531,12,5.4290037,Watermark (2014),Documentary
3200,13,5.112784,"Last Detail, The (1973)",Comedy|Drama
166534,13,5.1042075,Split (2017),Drama|Horror|Thriller
3379,13,4.9383526,On the Beach (1959),Drama
33649,13,4.9176884,Saving Face (2004),Comedy|Drama|Romance
260,13,4.8558755,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
858,13,4.79912,"Godfather, The (1972)",Crime|Drama
170705,13,4.786548,Band of Brothers (2001),Action|Drama|War
4993,13,4.781807,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
171495,13,4.7699957,Cosmos,(no genres listed)
7153,13,4.764335,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
27611,15,5.1065936,Battlestar Galactica (2003),Drama|Sci-Fi|War
26171,15,4.83778,Play Time (a.k.a. Playtime) (1967),Comedy
60943,15,4.8086705,Frozen River (2008),Drama
59018,15,4.8086705,"Visitor, The (2007)",Drama|Romance
32892,15,4.7972603,Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962),Drama|War
7841,15,4.632373,Children of Dune (2003),Fantasy|Sci-Fi
161582,15,4.5928087,Hell or High Water (2016),Crime|Drama
26133,15,4.56027,"Charlie Brown Christmas, A (1965)",Animation|Children|Comedy
